parkName,parkID
Kenai Fjords National Park,1
Denali National Park,2
Glacier Bay National Park,3
Katmai National Park,4
Grand Canyon National Park,5
Saguaro National Park,6
Petrified Forest National Park,7
Hot Springs National Park,8
Yosemite National Park,9
Sequoia National Park,10
Joshua Tree National Park,11
Lassen Volcanic National Park,12
Kings Canyon National Park,13
Pinnacles National Park,14
Death Valley National Park,15
Redwood National Park,16
Channel Islands National Park,17
Rocky Mountain National Park,18
Great Sand Dunes National Park and Preserve,19
Mesa Verde National Park,20
Black Canyon of the Gunnison National Park,21
Everglades National Park,22
Fort Pickens National Park,23
Biscayne National Park,24
Dry Tortugas National Park,25
"Clayton Co International Park, Jonesboro GA",26
Indiana Dunes National Park,27
Mammoth Cave National Park,28
Acadia National Park,29
Isle Royale National Park,30
Voyageurs National Park,31
Gateway Arch National Park,32
Glacier National Park,33
Yellowstone National Park,34
Great Basin National Park,35
Carlsbad Caverns National Park,36
Great Smoky Mountains National Park,37
Theodore Roosevelt National Park,38
Cuyahoga Valley National Park,39
Crater Lake National Park,40
Congaree National Park,41
Congaree National Park Wilderness,42
Badlands National Park,43
Wind Cave National Park,44
Guadalupe Mountains National Park,45
Big Bend National Park,46
Zion National Park,47
Arches National Park,48
Bryce Canyon National Park,49
Canyonlands National Park,50
Capitol Reef National Park,51
Shenandoah National Park,52
Fort Hunt National Park,53
Wolf Trap National Park for the Performing Arts,54
Mount Rainier National Park,55
Olympic National Park,56
North Cascades National Park,57
Grand Teton National Park,58
Hawaii Volcanoes National Park,59
Haleakala National Park,60
